filename,pageNum
/Users/jillnaiman/tmpADSDownloads/pdfs/1985ApJ___298L__21B.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1987AJ_____94__671B.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1913ApJ____37__119K.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJ___360L___1C.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1912ApJ____36____1B.pdf,14
/Users/jillnaiman/tmpADSDownloads/pdfs/1957ApJ___125__689S.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1968ApJ___151__825T.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___324__869R.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1995AJ____110__502D.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___389L__67B.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___462__977M.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJ___257___40B.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJ___283__879P.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1987ApJ___320__266M.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1981ApJ___250__103D.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___384___72T.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1992AJ____104__719F.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1985AJ_____90__927O.pdf,27
/Users/jillnaiman/tmpADSDownloads/pdfs/1956AJ_____61__254S.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1997AJ____114__655B.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___346__773G.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___473__929V.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1968ApJ___153__397H.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1904ApJ____19___41H.pdf,13
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___432__590D.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1914ApJ____39__373B.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1987ApJS___63__809S.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___422L__33D.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___439__599M.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJS___94__615H.pdf,14
/Users/jillnaiman/tmpADSDownloads/pdfs/1906ApJ____23___79P.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___266___82S.pdf,13
/Users/jillnaiman/tmpADSDownloads/pdfs/1991AJ____102__562F.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1895ApJ_____2___74H.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1912ApJ____35__101F.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1955ApJ___121__611M.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1975ApJ___202L__25M.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1992AJ____103_1545C.pdf,11
/Users/jillnaiman/tmpADSDownloads/pdfs/1975ApJ___202___30B.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1967ApJ___150__667D.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___413__281B.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJS___70__731L.pdf,84
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___267__442C.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___466__537S.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___428__219Z.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___453___48D.pdf,13
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___430__568H.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJS___70__181A.pdf,43
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJ___254__507A.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1987ApJ___319L___7V.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1987ApJ___317__152B.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___378__398K.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___452__238H.pdf,14
/Users/jillnaiman/tmpADSDownloads/pdfs/1983AJ_____88__404L.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1936ApJ____84___26A.pdf,38
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJS___70__181A.pdf,57
/Users/jillnaiman/tmpADSDownloads/pdfs/1942ApJ____96__188B.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1980ApJS___42____1J.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1980ApJS___44__319H.pdf,47
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___461__847W.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1981ApJ___247L__11T.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1994AJ____107__930W.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJS___85___27M.pdf,41
/Users/jillnaiman/tmpADSDownloads/pdfs/1924ApJ____59__155K.pdf,22
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___370__282C.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1980AJ_____85__542S.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___452__314H.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1949ApJ___110___73P.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1968ApJ___154__833M.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1995AJ____110__739L.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___467L_121D.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___460__460S.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___366L__73C.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___391__380A.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1941ApJ____94__482K.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1990AJ____100__793S.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1991AJ____102___14P.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1950ApJ___111__306N.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___418__919G.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___445__861B.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1920ApJ____51__102B.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1939ApJ____90__630S.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1988AJ_____96__909S.pdf,73
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___431L_111B.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1964ApJ___140_1467Z.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___329__982S.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1951ApJ___113__413S.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___447L_135K.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___437__209B.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___335__215P.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___270L__89C.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1955AJ_____60__219D.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJ___364__637M.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1995AJ____110___46D.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1967AJ_____72__939E.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1980ApJS___43___37E.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1975ApJ___202__407W.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1996AJ____111_1575W.pdf,15
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___265__148S.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___459L__65F.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___461__767W.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1975ApJ___199L___9B.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1912ApJ____36___14S.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___427L___9K.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJS___81__715S.pdf,40
/Users/jillnaiman/tmpADSDownloads/pdfs/1985AJ_____90_1992S.pdf,45
/Users/jillnaiman/tmpADSDownloads/pdfs/1981ApJ___247L__89M.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1988AJ_____95_1111C.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1949ApJ___110___21B.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1960ApJ___132___30B.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1977ApJ___218__716L.pdf,11
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___433__164G.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1914ApJ____39__105M.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJS___80__501O.pdf,46
/Users/jillnaiman/tmpADSDownloads/pdfs/1985ApJS___57__743V.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___424__189L.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___418__804D.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___441__568S.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___411__266M.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___440__151B.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJS___55__533H.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1997AJ____113_1618V.pdf,13
/Users/jillnaiman/tmpADSDownloads/pdfs/1940ApJ____91__546S.pdf,75
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJ___358__418R.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1981AJ_____86_1204L.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___337__691K.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___435__756B.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___449L_105S.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1994AJ____107_1825M.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___414__381F.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1993AJ____105_2226R.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___394__363P.pdf,12
/Users/jillnaiman/tmpADSDownloads/pdfs/1997AJ____113_1328S.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1959ApJ___130__811S.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1976ApJ___210__627S.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___418__894S.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJ___256___54A.pdf,18
/Users/jillnaiman/tmpADSDownloads/pdfs/1993AJ____105_1886S.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___271__853B.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___270__471M.pdf,14
/Users/jillnaiman/tmpADSDownloads/pdfs/1983AJ_____88_1330A.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJ___283__495G.pdf,9
